filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.eb00e12bbff99e35ef40279ffc64697d,1
session.first:true,1.86baa428ad14fef26420e7b37372ffac,1
session.first:true,1.5c561e9c254a7bff8c39039cf2d6c913,1
session.first:true,1.6383c206ac51e58907ffc3743981f27e,1
session.first:true,1.8fc173b536cdcc45230f0151468d5c89,1
session.first:true,1.9e80dd0dfbbbbe1f5c83b042843ec7e0,1
session.first:true,1.0a532a24db73e53fd89e33714eb89ca1,1
session.first:true,1.df53eab7ba08d8fd03b33b825096e7b2,1
session.first:true,1.8a11e19fd1d41b5f19f4f3d6825adef9,1
session.first:true,1.2063a7f512132bdbe7671548be6692d0,1
session.first:true,1.027e3a7a7f4ccf93ef7d43310b6951f3,1
session.first:true,1.f6712187023046e8d8ac739aa83ac363,1
session.first:true,1.ff2084d811a8584925204e84bef6bc2c,1
session.first:true,1.084866fd35179b558831dbc64378482d,1
session.first:true,1.209984ca7d62c81d97260233671b4e31,1
session.first:true,1.9d0cb05363c0197f4fe6001a96192f78,1
session.first:true,1.a3285d8b6142878e411ac73ebfcc9d3d,1
session.first:true,1.ff329fb73a15720690d9c8b4e8937ebc,1
session.first:true,1.76143495b27e55c01fd766dff9d7952a,1
session.first:true,1.134c40f1206cba679fb402f692410432,1
session.first:true,1.44f4360ff6a605e55907c96e8b81ce5f,1
session.first:true,1.022bab281acaa8ab541a87737af1312a,1
session.first:true,1.ab02765207c72acaf792192c3a895446,1
session.first:true,1.b2cb468def56ebc56749ed41f5769adf,1
session.first:true,1.73419023761e4850df9611ec95b2a5ea,1
session.first:true,1.c4e8c4fb4d50fbed686b7aa1653e1f75,1
session.first:true,1.28f22bed81741df2a7e8b6aa37ecbe26,1
session.first:true,1.092de48f87d4856199ae9a661580e1a4,1
session.first:true,1.7957c71229b3aa69a7d6dcc603d86133,1
session.first:true,1.bf58f86cf527ee754545a736595df26c,1
session.first:true,1.cca0778eb2088c5d52c3feeb422137bc,1
session.first:true,1.d637b4caf6155ebc7bffcfd15ef2d2b7,1
session.first:true,1.6d7f8ebecc3a1e050a2e12a3f1f9025f,1
session.first:true,1.b1ca8c29cae5d15cbfcfc0aa957e4a41,1
session.first:true,1.55841e5f6cf265cb78b19eb4cabf3ca3,1
session.first:true,1.eca63dc3164cd9216526c4562f7b8f0d,1
session.first:true,1.5be3285b3913ee73b3e1253dcc976815,1
session.first:true,1.0b2273099dcf03b0556bebcf8b7e5584,1
session.first:true,1.7e489803c45ad71d5daf4e122c2c172e,1
session.first:true,1.1827c0a1b57aa2920c04609c201c1099,1
session.first:true,1.6e5778f125533b1552a3bb4f9c219fee,1
session.first:true,1.973f07986c43f6869132be982c3952cb,1
session.first:true,1.53030ea1da67d017cef935c0d1f61877,1
session.first:true,1.1d8438aa3dae031c8c32c3e75259d591,1
session.first:true,1.7dc0488576626685982895619f623b0f,1
session.first:true,1.9b35fbae8f47312e287c77c753a25ffc,1
session.first:true,1.e3d9a2d7fd8357b73ced60f18fa39df8,1
session.first:true,1.2366c7f39c891cae6c1db9a42bb8ce03,1
session.first:true,1.6f206f3bbd12072e2c83cd431af862ef,1
session.first:true,1.fde6b9e6b3fd383f62e9a7f53ff2a8b4,1
session.first:true,1.221af5bc195b2cd7ca486e1ec090d8ee,1
session.first:true,1.241d1207298b5d21830bc4e6c3eb9a75,1
session.first:true,1.e3a7416142f766e6d747e62c8f5a58d8,1
session.first:true,1.821d79fa6faa03f91ca6aa29942531ab,1
session.first:true,1.0c5e1e089e744f0c538eba802d04f4bc,1
session.first:true,1.4aee0f5090f1da10ba4aff13ed276bfc,1
session.first:true,1.fc947d405fd771f510fe1a39e568027d,1
session.first:true,1.7e2eaac3de03a45aac0e4fe3e8937829,1
session.first:true,1.b19d8d7d3c460e32e2f6a097ca3ef136,1
session.first:true,1.24a3f65a2d7b2ac9e87c8d320ae018ad,1
session.first:true,1.62fab1996cb6365a6330eb00952db733,1
session.first:true,1.e1c9443f31f64aeb4bc501044c115f4e,1
session.first:true,1.dbaf00e2ab1a53797d13998ed2fa8532,1
session.first:true,1.bf3d97eab8f1ddc581628158ed0dacc8,1
session.first:true,1.28a8a333fd01aace2cd6eeb8552ce5a8,1
session.first:true,1.b15e88968448bf370de78497007429d8,1
session.first:true,1.c5c13edf1b20caf91b8c98bcf29e518f,1
session.first:true,1.29cd30803a8d622b285c026d3625371d,1
session.first:true,1.4c6816144cb6fc8b6183adf320e2944b,1
session.first:true,1.0ae6330a0b0c451cf7811beb8569b104,1
session.first:true,1.6a42976aa5cbb917feafa55dea4d6647,1
session.first:true,1.95f0922babd5fd89f3ef2e3be5499a64,1
session.first:true,1.d53a3f99a0f016f5034da99f4b92fb04,1
session.first:true,1.02c11992face5571a71bea4f40e044f7,1
session.first:true,1.9737e472ce4a38fb39e7751eb1547cd3,1
session.first:true,1.dfdd285686691cc26ffc48a59d9157b5,1
session.first:true,1.62a03311be6fcdcce5e7633d9a255222,1
session.first:true,1.961f83475055e49246b0d384ca6bcde9,1
session.first:true,1.dfc3536ec2742f6fe0867d5693d4609b,1
session.first:true,1.234e2d4ec9b3592a439a6ed224ea935a,1
session.first:true,1.e1ddb25d7eae42a801753e0056908e0f,1
session.first:true,1.3d69f96e6927d2ce333396afa202e984,1
session.first:true,1.157ed7a4a712cf12ccdcbec9c27ce7ec,1
session.first:true,1.ac0c1fcb779ab85e42e495e4ce62e8a1,1
session.first:true,1.5aea2b79e1c76d2646ac4df990de5009,1
session.first:true,1.01366930bcc1ab4b303e68872570c3fa,1
session.first:true,1.2b47bc4e09f9eb3a5bbf1905dc30a01e,1
session.first:true,1.a8f53c5a1285140658467c532c7c63c4,1
session.first:true,1.c1209b4fd162aeede8cfe6197b488dbc,1
session.first:true,1.8941057f92f6fefe2f4bb32d374a69e9,1
session.first:true,1.b94bd949894edb4b479fe1cebb1c0186,1
session.first:true,1.a914558260a9b951415d19520a783d0c,1
session.first:true,1.e01976c88fb9a974183a4ae355846ab7,1
session.first:true,1.648670efd99e1823ec242313bac5c380,1
session.first:true,1.524a550d1f8c3454721fe0b6fdb6538c,1
session.first:true,1.7308d7c5d3538ed8e42a882cfa1ad967,1
session.first:true,1.da257ca819f5696d8f084848f590e1d7,1
session.first:true,1.e66aadef1209f20f23cb1c926e0d854d,1
session.first:true,1.49b5cfa06d47f8dc8e9896aa029a9b67,1
session.first:true,1.63c26791ea7fa5cbfd17e6aa36531008,1
session.first:true,1.9d684d8ff225b65fc9328bb215a5c570,1
session.first:true,1.63ce2ed9e75db5ed9f3a89cf3769e855,1
session.first:true,1.569bea23179b92d797c3e80b3bac4e99,1
