filters,Top 50000000 fingerprint.raw,Top 50000000 request.ip.raw,Count
session.first:true,1.07915c3d69826c2d1b66f8f6970b843e,107.200.133.98,1
session.first:true,1.07a240bf89c81ca793e44188f4bdc10c,70.166.86.132,1
session.first:true,1.07a8f4f36bc68f919f1dc2c852919a6c,73.174.120.100,1
session.first:true,1.07c29a85eb1db7860ad093f833fbaad0,98.157.65.201,1
session.first:true,1.07cb44b2b04083277083e94af819be40,24.112.83.170,1
session.first:true,1.07ccf3105178740a4bbda168251424e0,73.160.29.33,1
session.first:true,1.07e5c5fb44265c21417bb607ad4013aa,99.153.255.20,1
session.first:true,1.07f66788117a8fd112775513b60e6e8f,98.206.95.81,1
session.first:true,1.07f72ff8f28e443671a70e41a2d96a0e,72.197.171.100,1
session.first:true,1.07fc24e2f32570a3cff419832b77b436,73.199.0.151,1
session.first:true,1.080129cc477286534839c63fd988af94,173.63.162.55,1
session.first:true,1.08068e7fea3af34aad9dd059a66ff063,71.58.70.225,1
session.first:true,1.08069a6c1926d16f787bfbd639ae7ffd,24.191.40.45,1
session.first:true,1.08238babeb0681ecd188025015538b81,184.100.220.229,1
session.first:true,1.08277ef3c3c436560dd1e4866ffb2802,76.189.47.40,1
session.first:true,1.083824e226a9d0613a71f0b8811e9018,49.205.224.57,1
session.first:true,1.08392b075b828209e49653230336a8b6,67.246.187.12,1
session.first:true,1.083a12c0db115529f61ef2acbc2ac0f4,75.64.27.197,1
session.first:true,1.083cedf49733cd7d004d0c1c844a99e5,174.101.76.168,1
session.first:true,1.084666c748345cddbf263762d96b3fac,108.216.204.86,1
session.first:true,1.084f3065b8f24c6702d30088becb7928,208.76.135.125,1
session.first:true,1.0852f75ae8ecf988303f08e2da045775,45.48.61.207,1
session.first:true,1.08609f3bb665775834cdaf74525a5687,67.173.12.216,1
session.first:true,1.086b28573dfb42e1b9bf3d2e8facf814,50.181.229.34,1
session.first:true,1.086d9ac27ee096c85f913ef32f8a9585,180.148.211.114,1
session.first:true,1.086eb3137173050034c62c705d74b80a,76.216.236.148,1
session.first:true,1.087103dbb5379e4ece3b530f9d543d52,24.93.141.90,1
session.first:true,1.087c1a8adf9a9a28b6199760aaadf7d0,208.67.143.225,1
session.first:true,1.08889de330ab293816a61a13421ffa5f,68.105.114.83,1
session.first:true,1.089905d7826282afb790ac0c06054cb0,71.207.144.128,1
session.first:true,1.089af8ab5e11d63a6765753c1634adcb,174.66.148.218,1
session.first:true,1.08a396c868f62bce29d1fe00fdbfddfe,70.197.197.171,1
session.first:true,1.08a6b2ca73f752e6b65bf3a63c39507c,208.38.81.84,1
session.first:true,1.08b3b0f76257a2d87b0440d025a686a4,182.186.140.73,1
session.first:true,1.08baa643c3e58516dde46e3061d24230,208.53.240.87,1
session.first:true,1.08c2c4e9dfe6243111e07689d7bb8ab0,72.69.27.18,1
session.first:true,1.08c3be92b0dae7ee3f571e4428a20923,97.121.160.47,1
session.first:true,1.08c9a06e5f0528f356ee483518a27efd,68.188.183.208,1
session.first:true,1.08d0722da651c52f8fc02b3f27516f00,173.73.49.235,1
session.first:true,1.08d6dbb6055542f4a26dc65c386f3714,173.27.226.8,1
session.first:true,1.08dcb3ffb875541e7fab78e53f1b3082,67.255.28.87,1
session.first:true,1.08e3ef0237a1345e905613b90aaec515,50.47.59.34,1
session.first:true,1.08e464ca6d8abc61414ede67715fe560,52.8.22.34,1
session.first:true,1.08eee33fee7280b9379761fb518081d7,208.54.4.229,1
session.first:true,1.08f2666b36b11c77efe9182ec2ca1906,98.103.122.42,1
session.first:true,1.08f6b08589e7c790baeb7268cf6783ed,68.61.147.46,1
session.first:true,1.08fe2a3812a7d1d6bf6d32fa52a6e530,76.27.98.136,1
session.first:true,1.091799c229e50ae2352ab3106e3955d4,50.169.225.207,1
session.first:true,1.0918414dbb030ef17a6198664f252921,75.35.168.155,1
session.first:true,1.0919ddb479119ebba1c092ad67bab6bd,67.61.62.139,1
session.first:true,1.0923ad9d6298292fa0645b9ea2715484,50.162.247.109,1
session.first:true,1.09382b6869d6a15b847b2a72cc3a156e,72.21.111.244,1
session.first:true,1.093d772e564842f65f44df128a073c04,98.206.87.194,1
session.first:true,1.093ec2aac6505bf4b5d23b05b495e2dc,73.194.9.83,1
session.first:true,1.0945b2678e50de443bd3fddb234f9ac9,24.182.82.6,1
session.first:true,1.0945c6ba38d08f5a56d0bd0d8932744a,173.67.49.154,1
session.first:true,1.094a0b1d1463f5f883cec6ce7879eb71,66.86.71.152,1
session.first:true,1.0957d765d4f291165feead9d4aa50e4c,167.160.98.150,1
session.first:true,1.0959aebc4903cf913c99c8299d11787c,192.55.208.10,1
session.first:true,1.095eee92eae4cedeea0961f369723f62,73.19.219.113,1
session.first:true,1.096a57e3283abe5b7db7aebed053b12b,50.96.245.54,1
session.first:true,1.09729f88850f2cd137b6510c534d3db4,100.32.90.75,1
session.first:true,1.097d5b0ba91d04e1d8b53faf2f160938,67.247.146.141,1
session.first:true,1.098c5cd440b6bbcf59b3510a8abaaee8,184.40.97.19,1
session.first:true,1.098dbe4fded56879bf987d2b2fc315b5,108.4.111.240,1
session.first:true,1.09913f4e72febd8532f9788af479f2ea,98.254.72.106,1
session.first:true,1.0992db1fd515ebb4c2712d0b933ade20,50.174.181.238,1
session.first:true,1.099320bf82b337880d7d5f4e383c3e55,64.183.130.182,1
