filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.6364223bec9a0ea1e437b12e11550d6d,1
session.first:true,1.3bef0e73d0d3f76b8b6606c17bdd51c8,1
session.first:true,1.969313aef9b822c9313efa9674b76091,1
session.first:true,1.862d9002e8c7defbe9de6f8f5e222d01,1
session.first:true,1.3b4f5cc86b6092f0dbbb881fecf78e8c,1
session.first:true,1.aa586e660641fdec4c16370d11318d3e,1
session.first:true,1.ba5a241863e1b30b82ff5705b0778dbf,1
session.first:true,1.c5505d10e0f260d82eca83cb5e667a6e,1
session.first:true,1.d280fc33db542caf9d85a6ab067c0dff,1
session.first:true,1.2db10ffb60d3456a58384f36b8ee6e59,1
session.first:true,1.739a91c512d04ada48ee7f7dc7f869b8,1
session.first:true,1.22da32ea24e2c40ad34d8409bde09d15,1
session.first:true,1.638efa1ced9aefc99aead08557273499,1
session.first:true,1.651dca1f71a4edd302b629707d534bac,1
session.first:true,1.3a1d6f6fecbe8cbcb65d0f6124d0ea4c,1
session.first:true,1.49a0bac178706f2cac870252b55177ea,1
session.first:true,1.e3e1034b9148869b084cff8757c6f1bc,1
session.first:true,1.2cceca3c5e77a3db17685a015d40cbf3,1
session.first:true,1.19252a6b58a171a8dd1956cd7dd02694,1
session.first:true,1.f02f9bb7792248d0cb153670d8a67a69,1
session.first:true,1.ce224879bf4a28d6d413f042e7f46af9,1
session.first:true,1.e816c8fcc776d925a01f42479d31bfc6,1
session.first:true,1.aaed8ba9fddc1b779aea0a636b01673c,1
session.first:true,1.d415d18449ac50d7cd4ed1944d4ab64a,1
session.first:true,1.6b886c5b3dba9f4adb22414955b99b7d,1
session.first:true,1.468cc69cc75ace9502cde8ea44b55859,1
session.first:true,1.a28a054103223d209be0fc976f372980,1
session.first:true,1.773d6ac30904b9a4c414372cc800b608,1
session.first:true,1.224b946dbcfa4354883250c1e992810f,1
session.first:true,1.f6107b721160b75cf2fb5abc08466771,1
session.first:true,1.82c886264d53b85592bf858e86787f0c,1
session.first:true,1.7fa3761d45d9547e5d16d781adffec75,1
session.first:true,1.1dc3cbeb795d21c749110c40ec34964f,1
session.first:true,1.8a3304042909a501d23215bee2494fee,1
session.first:true,1.70275d36e629888459fe6c655e8142b1,1
session.first:true,1.943d7fbffcaefaffd251a75b3b734246,1
session.first:true,1.36dcf5fa996f49b0d1b408b7f0609a64,1
session.first:true,1.5574e7cffe87a98cfcc4d11fce2daa98,1
session.first:true,1.3af9bfb52769ed221a683e8c6512dd5c,1
session.first:true,1.f9bc8e819ed11457f8b0a54eb42a4af9,1
session.first:true,1.b6b9bc7a7b6739d2a419ecca906eddae,1
session.first:true,1.1397aef84f9660600e00a7287b8c2c10,1
session.first:true,1.cae76187cc226356f706e332bf83cc8e,1
session.first:true,1.2be60707c4762425723220630c9f9012,1
session.first:true,1.17a6097c62e0605850cb21e80195f226,1
session.first:true,1.bc8ef71b6d63372bb507443f43ce78b1,1
session.first:true,1.34c4aed9916de15af7100c13b188334f,1
session.first:true,1.d03343a8f284115583bf5a3077446133,1
session.first:true,1.1740f37c6889c41175396a0a3da549b5,1
session.first:true,1.0ff54a6e36e6040d34cfdc5eabfc5042,1
session.first:true,1.e9730455c092b2d8ec25016ab732e7f3,1
session.first:true,1.2716e47323952213d9de3efd3fd3171e,1
session.first:true,1.95009b2207295c0763a52ec8429bb480,1
session.first:true,1.bb624347b0981c4e5fe6ac904ec82ac2,1
session.first:true,1.3d1d8f8e08227ef0e51e452bddbf7b96,1
session.first:true,1.4e5d31932207ab41e27623d1479e1b0f,1
session.first:true,1.dac634c5c1b46439739b78eab1878f98,1
session.first:true,1.b2bcaca0f9b61c66fab281ae81f93408,1
session.first:true,1.78ff5f1db44c45250bda9450401dcfc2,1
session.first:true,1.8f268a9f611f29b4ac9eb6e1e66aa732,1
session.first:true,1.7a913c9f4e3c22aed42e05a60f8f2f24,1
session.first:true,1.524738032cf8ea9ad77b564891e413a6,1
session.first:true,1.852a1f9b17ec4e14f41ab98e8f53d80a,1
session.first:true,1.918c9f9477c186ace949a0fda6ca4e26,1
session.first:true,1.d48c76e65758769e33371a65b240ad27,1
session.first:true,1.91062e6871117c55691f1cf563342cca,1
session.first:true,1.d29b3b33dc5de2d6ae6004db2005d266,1
session.first:true,1.59e690c2d49e6ef91012d0bd0962379d,1
session.first:true,1.0a7b91b21582ec89e71b15dfc78541e4,1
session.first:true,1.52500a47a3f636724bab14fc5eb3e70f,1
session.first:true,1.678f224daa7145b3db20a5ea44fed493,1
session.first:true,1.e9b343f006d6986e8332a9cb72fd059d,1
session.first:true,1.ee742a658c7289cc87154d4d72411e02,1
session.first:true,1.79796e36c20cd971a8c828107269aabd,1
session.first:true,1.82c30bfe6275b1a5961575663630dd5a,1
session.first:true,1.52a61c8b497fee0f6964c2f0b7f2f336,1
session.first:true,1.c9da112e1879ef2e680ede6d3410c2c5,1
session.first:true,1.2bffc73cebec5626dfd90d7a5b3ca0af,1
session.first:true,1.a2fbc656d310a8129d41907f81e762f8,1
session.first:true,1.90ab287bac3aea43ecbc299afb145b89,1
session.first:true,1.ff93b2716bbd30b6c196d0036f7f9e45,1
session.first:true,1.cf4af2bf5a4ced9e0719fc7a68e3535b,1
session.first:true,1.fb2fbcf1a90f87f8e32fb74774904d61,1
session.first:true,1.7bb7430a5c24fdeec9a9ba09e4928b87,1
session.first:true,1.7211c70ae38beb704e0822af49fd65a9,1
session.first:true,1.25a7f6b87eb04cbfdc350df583e3951b,1
session.first:true,1.7074dbdd90624ada417eb085adeedcde,1
session.first:true,1.dd11df35b402b455696155c95426cc80,1
session.first:true,1.7df268fdecab56b1bb1798917ca1c142,1
session.first:true,1.d39333ba4e6e50cbcf38df80ca51f670,1
session.first:true,1.ce7ff332431998c75082738c22673c04,1
session.first:true,1.6e2553c6334a0d46417038eb95bb9604,1
session.first:true,1.89db40dcc311428d7c0b3254f4c21987,1
session.first:true,1.465a7353d62544cb479acc6f61a1fee9,1
session.first:true,1.c4cc225e1615ec924dbbbbd681c9590d,1
session.first:true,1.5adfbb77da0268a3c32a066ec49052a2,1
session.first:true,1.f84b27e767ac7342211c85653bac316c,1
session.first:true,1.77ca987a85ae5cda455c87dcd7a32acf,1
session.first:true,1.ad58ae271b3db2110afb353eae3b125d,1
session.first:true,1.b604c543e0c0a551a56a2bbd8418c8e0,1
session.first:true,1.1fef69b57f6831aff3e77e3f89485373,1
session.first:true,1.da9a302c9123e37ce8bf61ec47d5d758,1
session.first:true,1.e2a9816f2539bca28c1bc90c239e2513,1
session.first:true,1.b64951824ee9a1580ac348469114c1e8,1
session.first:true,1.34d5683f414c6ae86149e1737a153dde,1
session.first:true,1.2267b8334a96aaf0ea2ca6f8a47c1004,1
session.first:true,1.c526ac6a12a16a4f92d7f3e7a7fbf4a4,1
session.first:true,1.158cfada4585b346512ce5a4df3d7a74,1
session.first:true,1.7f46937f64816ee7bfb3f83f2a387462,1
session.first:true,1.8c52e52cd73fe3fbe32c8dc6e96f19b4,1
session.first:true,1.27b7f2c71f5bd137b88c8213c39f2817,1
session.first:true,1.2d666dff922042aef3c9a050248cbd3d,1
session.first:true,1.503c8bf927750b236511b89879152b85,1
session.first:true,1.803b8e6f401a8f16f2c8d20d3de3b5fa,1
session.first:true,1.02d25e5afbe2d34855aeff7ff99b50b3,1
session.first:true,1.ef2c1c7b2ac04f4fa2fa45890a518907,1
session.first:true,1.189d457ea21a6b90f9caa57cd35dcd13,1
session.first:true,1.dc10144371379ae6105a6238ac61656a,1
session.first:true,1.08491ccb26e5456339f42dbc90920461,1
session.first:true,1.a932cea9069649be1cc3e40a1c646332,1
session.first:true,1.ef4cae92e7be91217780d64447227fb0,1
session.first:true,1.fe5818d415cb538e9acd1d0e425f9805,1
session.first:true,1.117788504631ca06876a56a77cfaa594,1
session.first:true,1.a40ff87f541c3a8b4040a3fe4c469bda,1
